GameID,RentalDate,ReturnDate,CustomerID
cod01,11/09/2022,23/11/2022,abcd
fifa02,12/09/2022,13/10/2022,efgh
acr03,23/09/2022,04/11/2022,ijkl
tlo04,15/09/2022,24/11/2022,mnop
cod01,18/10/2022,27/12/2022,qtbs
tlo01,21/10/2022,29/01/2023,zvfm
tlo03,23/11/2022,27/01/2023,fgxl
cod02,27/11/2022,29/02/2023,snar
cod01,08/12/2022,04/04/2023,kxji
acr02,16/12/2022,09/04/2023,lptu
acr01,26/12/2022,30/03/2023,wxyl
fifa01,27/12/2022,05/01/2023,hwbn
zel01,01/01/2023,15/01/2023,abcd
gow01,05/01/2023,20/01/2023,efgh
tlo02,10/01/2023,25/01/2023,ijkl
zel02,15/01/2023,30/01/2023,mnop
res01,20/01/2023,04/02/2023,qtbs
spid01,25/01/2023,09/02/2023,zvfm
spid02,30/01/2023,14/02/2023,fgxl
gow03,04/02/2023,19/02/2023,snar
res02,05/02/2023,22/02/2023,snar
cod02,09/02/2023,24/02/2023,kxji
gow02,14/02/2023,01/03/2023,lptu
cod03,19/02/2023,06/03/2023,wxyl
fifa03,24/02/2023,11/03/2023,hwbn
spid03,01/03/2023,18/03/2023,abcd
res03,06/03/2023,23/03/2023,efgh
halo02,11/03/2023,28/03/2023,ijkl
zel03,16/03/2023,02/04/2023,mnop
cod01,05/04/2023,18/04/2023,abcd
fifa02,10/04/2023,25/04/2023,efgh
acr03,15/04/2023,30/04/2023,ijkl
tlo04,20/04/2023,05/05/2023,mnop
cod01,25/04/2023,10/05/2023,qtbs
tlo01,30/04/2023,15/05/2023,zvfm
tlo03,05/05/2023,20/05/2023,fgxl
cod02,10/05/2023,25/05/2023,snar
cod01,15/05/2023,30/05/2023,kxji
acr02,20/05/2023,04/06/2023,lptu
acr01,25/05/2023,09/06/2023,wxyl
fifa01,30/05/2023,14/06/2023,hwbn
zel01,04/06/2023,19/06/2023,abcd
gow01,09/06/2023,24/06/2023,efgh
tlo02,14/06/2023,29/06/2023,ijkl
zel02,19/06/2023,04/07/2023,mnop
res01,24/06/2023,09/07/2023,qtbs
spid01,29/06/2023,14/07/2023,zvfm
spid02,04/07/2023,19/07/2023,fgxl
gow03,09/07/2023,24/07/2023,snar
tlo02,14/07/2023,29/07/2023,kxji
gow02,19/07/2023,03/08/2023,lptu
cod03,24/07/2023,08/08/2023,wxyl
fifa03,29/07/2023,13/08/2023,hwbn
spid03,03/08/2023,18/08/2023,abcd
fifa03,08/08/2023,23/08/2023,efgh
fifa01,13/08/2023,28/08/2023,ijkl
zel03,18/08/2023,02/09/2023,mnop
zel01,23/08/2023,07/09/2023,abcd
halo01,28/08/2023,12/09/2023,qtbs
fifa01,02/09/2023,17/09/2023,efgh
spid02,22/09/2023,07/10/2023,kxji
fifa04,27/09/2023,12/10/2023,hwbn
tlo01,02/10/2023,17/10/2023,zvfm
cod02,07/10/2023,22/10/2023,snar
acr02,12/10/2023,27/10/2023,lptu
spid02,17/10/2023,01/11/2023,fgxl
zel02,22/10/2023,06/11/2023,mnop
zel01,05/11/2023,20/11/2023,abcd
fifa02,10/11/2023,25/11/2023,efgh
acr03,15/11/2023,30/11/2023,ijkl
tlo04,20/11/2023,05/12/2023,mnop
cod01,25/11/2023,10/12/2023,qtbs
tlo01,30/11/2023,15/12/2023,zvfm
tlo03,05/12/2023,20/12/2023,fgxl
cod02,10/12/2023,25/12/2023,snar
cod01,15/12/2023,30/12/2023,kxji
acr02,20/12/2023,04/01/2023,lptu
acr01,25/12/2023,09/01/2023,wxyl
fifa01,30/12/2023,14/01/2023,hwbn
zel01,04/01/2023,19/01/2023,abcd
gow01,09/01/2023,24/01/2023,efgh
tlo02,14/01/2023,29/01/2023,ijkl
zel02,19/01/2023,03/02/2023,mnop
res01,24/01/2023,08/02/2023,qtbs
spid01,29/01/2023,13/02/2023,zvfm
spid02,03/02/2023,18/02/2023,fgxl
gow03,08/02/2023,23/02/2023,snar
tlo01,13/02/2023,28/02/2023,kxji
gow02,18/02/2023,04/03/2023,lptu
cod03,23/02/2023,09/03/2023,wxyl
fifa03,28/02/2023,14/03/2023,hwbn
res03,09/03/2023,24/03/2023,efgh
zel03,19/03/2023,03/04/2023,mnop
zel01,24/03/2023,08/04/2023,abcd
tlo02,08/04/2023,23/04/2023,ijkl
cod01,13/04/2023,28/04/2023,qtbs
spid03,04/03/2023,27/07/2023,abcd
fifa01,03/04/2023,,efgh
halo02,14/03/2023,,ijkl
halo01,18/04/2023,,kxji
fifa04,23/04/2023,,hkda
tlo01,28/04/2023,,zvfm
cod02,03/05/2023,,snar
acr03,08/05/2023,27/20/2023,lptu
spid02,13/05/2023,,fgxl
zel02,18/05/2023,27/20/2023,mnop
acr03,23/05/2023,24/09/2026,abcd
