CustomerID,SubscriptionType,StartDate,EndDate
coai,Basic,2022-01-01,2023-12-31
abcd,Premium,2022-02-01,2025-11-30
efgh,Premium,2022-03-01,2026-12-31
ijkl,Premium,2022-04-01,2024-12-31
mnop,Premium,2022-05-01,2022-12-31
xwkp,Basic,2022-01-15,2023-12-31
qtbs,Premium,2022-02-28,2025-11-30
ruyx,Basic,2022-03-10,2022-12-31
zvfm,Premium,2022-04-22,2024-12-31
ldnp,Basic,2022-05-03,2022-12-31
hkda,Premium,2022-06-15,2024-06-30
trws,Basic,2022-07-01,2022-12-31
fgxl,Premium,2022-08-12,2023-11-30
oyzp,Basic,2022-09-05,2022-12-31
snar,Premium,2022-10-18,2024-09-30
tmco,Basic,2022-11-21,2022-12-31
kxji,Premium,2022-12-04,2023-10-31
upen,Basic,2023-01-01,2023-12-31
wxyl,Premium,2023-02-14,2024-08-31
qzfd,Basic,2023-03-27,2023-12-31
lptu,Premium,2023-04-16,2025-12-14
